GE80948	CHRFAM7A; CHRNA7
GE80960	C17orf72; ICAM2
GE80980	CYP4F2; CYP4F3
GE81004	CNGA3; COL7A1
GE81068	CDK11A; CDK11B
GE81178	PLGLB1; PLGLB2; RGPD1
GE81193	PSG11; PSG4
GE81234	LOC100130932; SNRPG
GE812665	APOBEC3B; APOBEC3D
GE813292	C2CD4A; C2CD4B
GE814536	ARL11; C15orf2
GE81456	CSAG2; CSAG3
GE81515	ACOT8; SNX21
GE81524	HSPG2; LDLRAD2
GE81563	ZNF443; ZNF799
GE81568	JMJD8; STUB1
GE81572	ACAT2; TCP1
GE81619	MAP3K12; PCBP2
GE81648	SPRR2B; SPRR2D; SPRR2F
GE81685	ACOT1; ACOT2
GE81698	SFTPA1; SFTPA2
GE81707	LOC100132247; NPIP; NPIPL3
GE81905	NOMO1; NOMO2; NOMO3
GE81931	SYS1; TP53TG5
GE81983	GOLGA8A; GOLGA8B
GE82043	PLEKHA8; PLEKHA9
GE82085	HSFX1; HSFX2
GE82088	C5orf45; SQSTM1
GE821504	ZNF253; ZNF708
GE822540	ATAD3C; HHLA2; MPV17L
GE82270	LRRC37A; LRRC37A2; LRRC37A3
GE822815	CCL16; ZNF674
GE82299	KBTBD4; PTPMT1
GE82332	TYW1; TYW1B
GE82365	METTL2A; METTL2B
GE82432	GOLGA6A; GOLGA6B; GOLGA6C; GOLGA6D
GE82466	RHOF; TMEM120B
GE82472	ZKSCAN3; ZKSCAN4
GE82484	METTL3; TOX4
GE82486	ASAH2; ASAH2B
GE82489	TUBB4Q; TUBB8
GE82528	TRIM49; TRIM49L2
GE82539	XAGE1A; XAGE1B; XAGE1C; XAGE1D; XAGE1E
GE82564	ANKHD1; ANKHD1-EIF4EBP3
GE82589	TMSB4X; TMSL3
GE82715	CCDC85C; CCNK
GE82771	SLX1A; SLX1B
GE82805	TRIM48; TRIM49L1
GE82954	ATP2A1; RABEP2
GE83155	B9D2; TMEM91
GE83193	OR2A25; OR2A4; OR2A7
GE83213	HNRNPA1; HNRNPA1L2
GE83214	HYI; KIAA0467
GE832160	DNAJC18; PPHLN1; TYW1B
GE832379	ATXN3; C15orf38; C1RL; CAMK1D; CAPN2; CASP2; CCDC113; CXorf38; DNAJC3; FAM122C; FAM161B; FAM63B; GNE; PAFAH1B2; PDE6A; PL-5283; SGK269; SLC26A2; SMCR8; TPM3; VHLL; YTHDC1; ZNF621; ZNF639
GE83291	KRTAP9-2; KRTAP9-8
